NAME,ELEVATION,MONTAIN RANGE,REGION,GEO_COORDINATES,LATITUDE,LONGITUDE,KGP,DIADEM,KGS,KS,KNSSP,TZK,KBW,KMSL,DOG_FRIENDLY
Biskupia Kopa,889,Góry Opawskie,,"50,2566847; 17,4287677","50,2566847","17,4287677",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,
Skrzyczne,1257,Beskid Śląski,,"49,6844492; 19,0301620","49,6844492","19,0301620",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Czupel,933,Beskid Mały,,"49,7661048; 19,1552773","49,7661048","19,1552773",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Babia Góra,1725,Beskid Żywiecki,,"49,5731628; 19,5307964","49,5731628","19,5307964",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Lubomir,912,Beskid Makowski,,"49,7666666; 20,0625000","49,7666666","20,0625000",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Mogielica,1173,Beskid Wyspowy,,"49,6552305; 20,2768336","49,6552305","20,2768336",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Turbacz,1310,Gorce,,"49,5429179; 20,1113448","49,5429179","20,1113448",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Wysoka,1050,Pieniny,,"49,3806755; 20,5555165","49,3806755","20,5555165",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Radziejowa,1262,Beskid Sądecki,,"49,4493407; 20,6041314","49,4493407","20,6041314",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Lackowa,997,Beskid Niski,,"49,4293982; 21,0963678","49,4293982","21,0963678",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,
Tarnica,1346,Bieszczady,,"49,0745547; 22,7262497","49,0745547","22,7262497",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE
Błędne Skały,853,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Narożnik,849,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Ptak,839,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Kopa Śmierci,830,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Podmorskie kanały,792,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Čáp,786,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Božanovský špičák,773,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Koruna,769,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Krucza Kopa,723,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Róg,715,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Velká Kupa,708,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Rogacz,708,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Dzik,703,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Supí hnízdo,702,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Ostaš,700,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Urwisko Batorowskie,700,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Baszty,700,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Stražna hora,689,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Modry Kamen,686,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Starozámecký vrch,681,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Krizowy Vrch,667,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
Duża Dufałka,622,Góry Stołowe,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,TRUE
